area_code	areatype_code	area_name
3300001	M	Northern New Hampshire nonmetropolitan area	
3300002	M	Other New Hampshire nonmetropolitan area	
3300003	M	Western New Hampshire nonmetropolitan area	
3300004	M	Southwestern New Hampshire nonmetropolitan area	
3400000	S	New Jersey	
3500000	S	New Mexico	
3500001	M	North and West Central New Mexico nonmetropolitan area	
3500002	M	Eastern New Mexico nonmetropolitan area	
3500003	M	Southwestern New Mexico nonmetropolitan area	
3500004	M	Los Alamos County, New Mexico nonmetropolitan area	
3600000	S	New York	
3600001	M	Capital/Northern New York nonmetropolitan area	
3600002	M	East Central New York nonmetropolitan area	
3600003	M	Central New York nonmetropolitan area	
3600004	M	Southwest New York nonmetropolitan area	
3700000	S	North Carolina	
3700001	M	Northeastern North Carolina nonmetropolitan area	
3700002	M	Other North Carolina nonmetropolitan area	
3700003	M	Western Central North Carolina nonmetropolitan area	
3700004	M	Western North Carolina nonmetropolitan area	
3800000	S	North Dakota	
3800001	M	Far Western North Dakota nonmetropolitan area	
3800002	M	West Central North Dakota nonmetropolitan area	
3800003	M	East Central North Dakota nonmetropolitan area	
3800004	M	Far Eastern North Dakota nonmetropolitan area	
3900000	S	Ohio	
3900001	M	West Northwestern Ohio nonmetropolitan area	
3900002	M	Other Ohio nonmetropolitan area	
3900003	M	Eastern Ohio nonmetropolitan area	
3900004	M	Southern Ohio nonmetropolitan area	
4000000	S	Oklahoma	
4000001	M	Northeastern Oklahoma nonmetropolitan area	
4000002	M	Northwestern Oklahoma nonmetropolitan area	
4000003	M	Southwestern Oklahoma nonmetropolitan area	
4000004	M	Southeastern Oklahoma nonmetropolitan area	
4100000	S	Oregon	
4100001	M	Coastal Oregon nonmetropolitan area	
4100002	M	Southern Oregon and Linn County nonmetropolitan area	
4100003	M	North Central Oregon nonmetropolitan area	
4100004	M	Eastern Oregon nonmetropolitan area	
4200000	S	Pennsylvania	
4200001	M	Far Western Pennsylvania nonmetropolitan area	
4200002	M	West Central Pennsylvania nonmetropolitan area	
4200003	M	Northeastern Pennsylvania nonmetropolitan area	
4200004	M	East Central Pennsylvania nonmetropolitan area	
4400000	S	Rhode Island	
4400001	M	New Shoreham Town, Rhode Island nonmetropolitan area	
4500000	S	South Carolina	
4500001	M	Low Country South Carolina nonmetropolitan area	
4500002	M	Upper Savannah South Carolina nonmetropolitan area	
4500003	M	Pee Dee South Carolina nonmetropolitan area	
4500004	M	Lower Savannah South Carolina nonmetropolitan area	
4600000	S	South Dakota	
4600001	M	Central South Dakota nonmetropolitan area	
4600002	M	Eastern South Dakota nonmetropolitan area	
4600003	M	Western South Dakota nonmetropolitan area	
4700000	S	Tennessee	
4700001	M	Western Tennessee nonmetropolitan area	
4700002	M	South Central Tennessee nonmetropolitan area	
4700003	M	North Central Tennessee nonmetropolitan area	
4700004	M	Eastern Tennessee nonmetropolitan area	
4800000	S	Texas	
4800001	M	Northwestern Texas nonmetropolitan area	
4800002	M	North Central Texas nonmetropolitan area	
4800003	M	Eastern Texas nonmetropolitan area	
4800004	M	Central Texas nonmetropolitan area	
4800005	M	Southern Texas nonmetropolitan area	
4800006	M	Gulf Coast Texas nonmetropolitan area	
4900000	S	Utah	
4900001	M	Northern Utah nonmetropolitan area	
4900002	M	West Central Utah nonmetropolitan area	
4900003	M	South Western Utah nonmetropolitan area	
4900004	M	Eastern Utah nonmetropolitan area	
5000000	S	Vermont	
5000001	M	Southern Vermont nonmetropolitan area	
5000002	M	Northern Vermont nonmetropolitan area	
5100000	S	Virginia	
5100001	M	Southwestern Virginia nonmetropolitan area	
5100002	M	Southside Virginia nonmetropolitan area	
5100003	M	Northeastern Virginia nonmetropolitan area	
5100004	M	Northwestern Virginia nonmetropolitan area	
5300000	S	Washington	
5300001	M	Northwestern Washington nonmetropolitan area	
5300002	M	Southwestern Washington nonmetropolitan area	
5300003	M	Central Washington nonmetropolitan area	
5300004	M	Eastern Washington nonmetropolitan area	
5400000	S	West Virginia	
5400001	M	Southern West Virginia nonmetropolitan area	
5400002	M	North Central West Virginia nonmetropolitan area	
5500000	S	Wisconsin	
5500001	M	Eastern Wisconsin nonmetropolitan area	
5500002	M	West Central Wisconsin nonmetropolitan area	
5500003	M	South Central Wisconsin nonmetropolitan area	
5500004	M	Southwestern Wisconsin nonmetropolitan area	
5500005	M	Northern Wisconsin nonmetropolitan area	
5600000	S	Wyoming	
5600001	M	Northwestern Wyoming nonmetropolitan area	
5600002	M	Southwestern Wyoming nonmetropolitan area	
5600003	M	Northeastern Wyoming nonmetropolitan area	
5600004	M	Southeastern Wyoming nonmetropolitan area	
6600000	S	Guam	
7200000	S	Puerto Rico	
7200001	M	Puerto Rico nonmetropolitan area 1	
7200002	M	Puerto Rico nonmetropolitan area 2	
7800000	S	Virgin Islands	
